rank,team,power_rating,record,wins,losses,off_rating,def_rating,adj_off_ppa,adj_def_ppa,adj_off_sr,adj_def_sr,srs,epa_rating,games
1,Alabama,28.0,14-1,14,1,37.9,8.2,0.119,-0.249,0.482,0.271,25.4,29.6,14
2,Clemson,25.4,14-1,14,1,42.1,13.1,0.175,-0.191,0.505,0.312,20.0,29.0,14
3,Ole Miss,21.8,10-3,10,3,44.1,18.3,0.199,-0.136,0.521,0.372,15.9,25.7,12
4,Oklahoma,20.5,11-2,11,2,39.7,18.2,0.147,-0.139,0.485,0.375,18.9,21.5,13
5,Ohio State,19.9,12-1,12,1,37.4,17.8,0.104,-0.132,0.501,0.344,20.4,19.6,13
6,LSU,18.6,9-3,9,3,39.5,18.7,0.156,-0.127,0.456,0.364,15.1,20.8,12
7,Stanford,18.0,12-2,12,2,43.4,25.8,0.191,-0.034,0.516,0.405,18.5,17.7,14
8,Michigan,17.7,10-3,10,3,34.9,15.8,0.077,-0.154,0.475,0.324,15.5,19.1,13
9,Baylor,17.4,10-3,10,3,42.0,22.9,0.184,-0.076,0.482,0.4,14.9,19.1,12
10,Notre Dame,15.8,10-3,10,3,42.8,26.5,0.187,-0.023,0.502,0.404,15.1,16.3,13
11,Mississippi State,15.3,9-4,9,4,39.4,23.7,0.138,-0.072,0.495,0.418,14.8,15.7,12
12,Arkansas,15.3,8-5,8,5,46.2,29.9,0.232,0.014,0.521,0.442,13.7,16.3,12
13,Tennessee,14.6,9-4,9,4,36.6,22.9,0.109,-0.063,0.46,0.371,16.0,13.7,12
14,North Carolina,14.6,11-3,11,3,44.2,30.1,0.206,0.01,0.511,0.46,15.2,14.1,12
15,TCU,14.5,11-2,11,2,37.0,21.1,0.111,-0.091,0.469,0.369,12.4,15.9,12
16,Georgia,14.0,10-3,10,3,33.9,16.3,0.067,-0.157,0.461,0.35,8.7,17.6,12
17,USC,13.9,8-6,8,6,36.5,21.1,0.103,-0.106,0.469,0.406,11.6,15.4,14
18,Oregon,12.9,9-4,9,4,42.1,28.3,0.184,-0.003,0.485,0.422,11.4,13.9,12
19,Washington,12.8,7-6,7,6,30.5,16.6,0.022,-0.164,0.443,0.375,11.2,13.9,12
20,Bowling Green,12.8,10-4,10,4,43.2,27.0,0.201,-0.026,0.485,0.432,7.8,16.2,14
21,Florida State,12.5,10-3,10,3,34.5,23.1,0.076,-0.065,0.462,0.382,14.1,11.4,12
22,California,11.8,8-5,8,5,43.4,30.3,0.184,0.018,0.531,0.449,9.8,13.1,12
23,Florida,11.5,10-4,10,4,29.8,16.4,0.024,-0.158,0.414,0.355,8.6,13.4,14
24,Michigan State,11.5,12-2,12,2,31.8,21.5,0.031,-0.09,0.466,0.379,13.2,10.3,14
25,Auburn,11.5,7-6,7,6,35.4,21.8,0.084,-0.098,0.474,0.411,8.3,13.6,12
26,Navy,11.1,11-2,11,2,40.0,29.6,0.152,0.008,0.482,0.445,12.2,10.4,12
27,West Virginia,11.1,8-5,8,5,30.3,17.1,0.023,-0.146,0.435,0.351,7.8,13.3,12
28,UCLA,11.1,8-5,8,5,34.5,21.7,0.078,-0.1,0.456,0.41,8.5,12.8,13
29,Toledo,10.9,10-2,10,2,34.2,22.5,0.088,-0.088,0.421,0.412,9.8,11.7,11
30,Western Kentucky,10.1,12-2,12,2,42.0,31.4,0.176,0.044,0.499,0.428,9.3,10.6,13
31,Houston,9.8,13-1,13,1,33.4,25.4,0.074,-0.039,0.424,0.403,12.5,8.0,13
32,Texas A&M,9.7,8-5,8,5,29.6,20.1,0.004,-0.114,0.45,0.387,10.1,9.5,12
33,Utah,9.5,10-3,10,3,28.0,19.2,-0.016,-0.126,0.441,0.384,10.7,8.8,13
34,Wisconsin,9.3,10-3,10,3,28.5,18.9,-0.008,-0.113,0.438,0.34,8.7,9.6,13
35,Oklahoma State,9.2,10-3,10,3,37.1,26.7,0.123,-0.023,0.445,0.412,7.4,10.4,12
36,Iowa,9.0,12-2,12,2,31.8,23.5,0.048,-0.069,0.431,0.406,10.0,8.3,13
37,Louisville,8.7,8-5,8,5,32.6,22.8,0.053,-0.065,0.447,0.37,6.9,9.8,12
38,Washington State,8.4,9-4,9,4,31.7,23.1,0.023,-0.075,0.482,0.402,8.0,8.6,12
39,South Florida,7.4,8-5,8,5,32.2,24.5,0.058,-0.048,0.42,0.391,6.8,7.8,12
40,BYU,7.2,9-4,9,4,30.8,23.8,0.033,-0.059,0.426,0.392,7.4,7.0,12
41,San Diego State,7.1,11-3,11,3,28.5,20.2,0.001,-0.102,0.418,0.362,5.2,8.3,13
42,Nebraska,6.9,6-7,6,7,34.7,27.0,0.081,-0.008,0.456,0.39,5.8,7.7,13
43,Boise State,6.5,9-4,9,4,27.8,21.2,-0.019,-0.078,0.441,0.344,6.4,6.6,12
44,Western Michigan,6.2,8-5,8,5,40.1,32.2,0.162,0.059,0.463,0.421,3.8,7.9,11
45,Memphis,6.2,9-4,9,4,31.8,26.8,0.047,-0.027,0.431,0.425,7.8,5.1,12
46,NC State,6.1,7-6,7,6,32.9,26.6,0.064,-0.017,0.432,0.395,5.6,6.4,12
47,App State,6.0,11-2,11,2,30.5,22.9,0.023,-0.08,0.439,0.41,3.7,7.6,12
48,Pittsburgh,5.9,8-5,8,5,32.0,27.1,0.036,-0.006,0.464,0.391,7.5,4.9,12
49,Arizona State,5.1,6-7,6,7,32.7,28.0,0.063,0.017,0.427,0.369,5.8,4.7,12
50,Southern Miss,4.7,9-5,9,5,34.2,27.6,0.093,-0.011,0.411,0.418,1.9,6.6,13
51,Penn State,4.4,7-6,7,6,28.1,23.4,-0.001,-0.061,0.409,0.382,4.0,4.7,13
52,Temple,4.3,10-4,10,4,24.6,21.7,-0.046,-0.083,0.386,0.371,6.5,2.9,14
53,Georgia Tech,3.8,3-9,3,9,31.2,26.4,0.028,-0.038,0.453,0.437,2.2,4.8,11
54,Northwestern,3.0,10-3,10,3,19.4,17.0,-0.116,-0.149,0.364,0.356,3.8,2.5,12
55,Virginia Tech,2.7,7-6,7,6,26.1,25.2,-0.038,-0.027,0.421,0.368,5.5,0.9,12
56,Indiana,2.7,6-7,6,7,35.1,31.7,0.081,0.052,0.469,0.42,1.7,3.4,12
57,Georgia Southern,2.2,9-4,9,4,29.7,29.3,0.023,0.014,0.412,0.419,4.9,0.4,12
58,Texas Tech,2.2,7-6,7,6,42.2,40.7,0.182,0.164,0.494,0.485,3.2,1.5,12
59,Minnesota,2.0,6-7,6,7,31.1,27.8,0.032,-0.014,0.439,0.431,-0.0,3.3,13
60,Louisiana Tech,1.9,9-4,9,4,31.7,28.9,0.039,0.001,0.445,0.438,0.6,2.8,12
61,Boston College,1.7,3-9,3,9,13.8,10.1,-0.186,-0.233,0.323,0.303,-1.4,3.7,10
62,Texas,1.6,5-7,5,7,27.4,25.6,-0.004,-0.052,0.392,0.44,1.3,1.9,12
63,Miami,1.6,8-5,8,5,29.5,30.1,0.018,0.015,0.417,0.449,4.9,-0.6,12
